dataId,genre
102536,Music
102537,Drama
102537,Sport
102538,Action
102538,Drama
102539,Drama
102540,Comedy
102540,Music
102540,Musical
102541,Comedy
102541,Family
102542,Documentary
102543,Drama
102544,Drama
102544,Music
102545,Adventure
102545,Family
102545,Mystery
102546,Family
102546,Animation
102546,Short
102547,Action
102547,Comedy
102548,Drama
102548,Romance
102549,Comedy
102549,Crime
102549,Mystery
102550,Drama
102551,Drama
102551,Romance
102551,Thriller
102552,Mystery
102553,Comedy
102553,Music
102553,Romance
102554,Comedy
102554,Short
102555,Documentary
102556,Musical
102557,Comedy
102557,Drama
102558,Family
102558,Animation
102558,Comedy
102559,Comedy
102560,Comedy
102560,Crime
102560,Drama
102561,Animation
102561,Short
102561,Family
102562,Comedy
102562,Drama
102563,Comedy
102564,Short
102564,Drama
102564,Romance
102565,Comedy
102565,Drama
102566,Family
102566,Animation
102566,Short
102567,Documentary
102567,Biography
102568,Documentary
102569,Drama
102569,Romance
102570,Animation
102570,Short
102570,Comedy
102571,Animation
102571,Comedy
102571,Short
102572,Drama
102572,Family
102573,Animation
102573,Family
102573,Comedy
102574,Animation
102574,Short
102574,Comedy
102575,Short
102575,Drama
102576,Comedy
102577,Documentary
102577,Short
102578,Documentary
102579,Drama
102580,Comedy
102581,Comedy
102582,Short
102582,Drama
102583,Drama
102584,Comedy
102585,Short
102585,Fantasy
102586,Animation
102586,Short
102586,Fantasy
102587,Comedy
102587,Crime
102588,Horror
102589,Documentary
102589,Short
102590,Drama
102591,Comedy
102591,Romance
102592,Drama
102593,Action
102593,Drama
102594,Mystery
102594,Thriller
102595,Drama
102596,Drama
102597,Documentary
102597,Crime
102597,History
102598,Comedy
102599,Sci-Fi
102600,Documentary
102601,Drama
102601,History
102602,Crime
102602,Thriller
102603,Thriller
102604,Horror
102605,Western
102606,Animation
102606,Short
102606,Music
102607,Comedy
102608,Animation
102608,Short
102608,Comedy
102609,Action
102609,Adventure
102609,Comedy
102610,Comedy
102610,Crime
102611,Comedy
102611,Romance
102612,Animation
102612,Adventure
102612,Comedy
102613,Family
102613,Mystery
102614,Drama
102614,Romance
102615,Documentary
102616,Adventure
102616,Drama
102616,Romance
102617,Animation
102617,Adventure
102617,Comedy
102618,Crime
102618,Drama
102619,Comedy
102619,Drama
102619,Family
102620,Comedy
102621,Thriller
